rn,strata,title,time,event_rr3,censor_rr3,at_risk_rr3,stderr,std.chaz
1,is_study_ind=0,Learners to Restricted (Over 18),0,S,60,17286,0,0
2,is_study_ind=0,Learners to Restricted (Over 18),1,S,48,17226,0,0
3,is_study_ind=0,Learners to Restricted (Over 18),2,S,33,17178,5.82E-05,5.82E-05
4,is_study_ind=0,Learners to Restricted (Over 18),3,S,48,17142,5.82E-05,5.82E-05
5,is_study_ind=0,Learners to Restricted (Over 18),4,S,48,17097,5.82E-05,5.82E-05
6,is_study_ind=0,Learners to Restricted (Over 18),5,S,45,17049,8.26E-05,8.26E-05
7,is_study_ind=0,Learners to Restricted (Over 18),6,102,39,17004,0.000604346,0.000602547
8,is_study_ind=0,Learners to Restricted (Over 18),7,174,48,16863,0.000993605,0.000989254
9,is_study_ind=0,Learners to Restricted (Over 18),8,156,33,16635,0.001246025,0.001240437
10,is_study_ind=0,Learners to Restricted (Over 18),9,189,33,16449,0.001505586,0.001498199
11,is_study_ind=0,Learners to Restricted (Over 18),10,162,33,16227,0.00170064,0.001692249
12,is_study_ind=0,Learners to Restricted (Over 18),11,174,69,16029,0.001892282,0.001882749
13,is_study_ind=0,Learners to Restricted (Over 18),12,195,60,15786,0.002089259,0.002078323
14,is_study_ind=0,Learners to Restricted (Over 18),13,195,84,15528,0.002277731,0.002265412
15,is_study_ind=0,Learners to Restricted (Over 18),14,189,63,15249,0.002451722,0.002438192
16,is_study_ind=0,Learners to Restricted (Over 18),15,201,69,15000,0.002629061,0.002614151
17,is_study_ind=0,Learners to Restricted (Over 18),16,165,57,14730,0.002771469,0.002755767
18,is_study_ind=0,Learners to Restricted (Over 18),17,159,63,14508,0.002905162,0.002888755
19,is_study_ind=0,Learners to Restricted (Over 18),18,216,81,14289,0.003085314,0.0030672
20,is_study_ind=0,Learners to Restricted (Over 18),19,177,90,13992,0.00322949,0.003210406
21,is_study_ind=0,Learners to Restricted (Over 18),20,186,69,13728,0.003380889,0.003360647
22,is_study_ind=0,Learners to Restricted (Over 18),21,192,75,13473,0.003536064,0.00351454
23,is_study_ind=0,Learners to Restricted (Over 18),22,189,57,13203,0.003689876,0.003667063
24,is_study_ind=0,Learners to Restricted (Over 18),23,189,87,12954,0.003840813,0.003816741
25,is_study_ind=0,Learners to Restricted (Over 18),24,195,81,12681,0.003997148,0.003971664
26,is_study_ind=0,Learners to Restricted (Over 18),25,174,42,12408,0.00413807,0.004111505
27,is_study_ind=0,Learners to Restricted (Over 18),26,183,24,12189,0.004286481,0.004258638
28,is_study_ind=0,Learners to Restricted (Over 18),27,180,51,11982,0.004434042,0.004404914
29,is_study_ind=0,Learners to Restricted (Over 18),28,177,69,11751,0.004578443,0.004548085
30,is_study_ind=0,Learners to Restricted (Over 18),29,159,54,11508,0.004708739,0.00467745
31,is_study_ind=0,Learners to Restricted (Over 18),30,165,72,11295,0.004847771,0.004815345
32,is_study_ind=0,Learners to Restricted (Over 18),31,177,72,11058,0.004998883,0.004965019
33,is_study_ind=0,Learners to Restricted (Over 18),32,165,60,10809,0.005140328,0.005105258
34,is_study_ind=0,Learners to Restricted (Over 18),33,156,60,10587,0.005275996,0.005239847
35,is_study_ind=0,Learners to Restricted (Over 18),34,147,69,10371,0.005404038,0.00536697
36,is_study_ind=0,Learners to Restricted (Over 18),35,159,81,10155,0.005546196,0.005507886
37,is_study_ind=0,Learners to Restricted (Over 18),36,135,51,9915,0.005669395,0.005630265
38,is_study_ind=0,Learners to Restricted (Over 18),37,132,66,9729,0.005794635,0.005754638
39,is_study_ind=0,Learners to Restricted (Over 18),38,105,57,9528,0.005895617,0.005855189
40,is_study_ind=0,Learners to Restricted (Over 18),39,129,57,9366,0.006021721,0.005980401
41,is_study_ind=0,Learners to Restricted (Over 18),40,114,78,9177,0.00613646,0.006094472
42,is_study_ind=0,Learners to Restricted (Over 18),41,135,63,8985,0.006273328,0.006230214
43,is_study_ind=0,Learners to Restricted (Over 18),42,102,48,8787,0.006376912,0.006333325
44,is_study_ind=0,Learners to Restricted (Over 18),43,117,75,8637,0.006501383,0.006456941
45,is_study_ind=0,Learners to Restricted (Over 18),44,120,60,8448,0.006631322,0.006585917
46,is_study_ind=0,Learners to Restricted (Over 18),45,90,63,8265,0.006731007,0.006685194
47,is_study_ind=0,Learners to Restricted (Over 18),46,111,78,8112,0.006855762,0.0068091
48,is_study_ind=0,Learners to Restricted (Over 18),47,117,75,7923,0.006989989,0.006942287
49,is_study_ind=0,Learners to Restricted (Over 18),48,99,78,7734,0.00711008,0.007061639
50,is_study_ind=0,Learners to Restricted (Over 18),49,117,84,7554,0.007252491,0.007202847
51,is_study_ind=0,Learners to Restricted (Over 18),50,87,60,7359,0.007363779,0.007313575
52,is_study_ind=0,Learners to Restricted (Over 18),51,102,69,7212,0.007498947,0.007447728
53,is_study_ind=0,Learners to Restricted (Over 18),52,78,84,7038,0.007604377,0.007552705
54,is_study_ind=0,Learners to Restricted (Over 18),53,84,66,6873,0.007720365,0.007668075
55,is_study_ind=0,Learners to Restricted (Over 18),54,81,75,6726,0.007835345,0.007782462
56,is_study_ind=0,Learners to Restricted (Over 18),55,81,102,6573,0.007955554,0.007901995
57,is_study_ind=0,Learners to Restricted (Over 18),56,78,75,6393,0.008076144,0.008021919
58,is_study_ind=0,Learners to Restricted (Over 18),57,81,87,6237,0.008205673,0.00815063
59,is_study_ind=0,Learners to Restricted (Over 18),58,99,96,6072,0.008368675,0.008312089
60,is_study_ind=0,Learners to Restricted (Over 18),59,123,108,5880,0.008583095,0.008523472
61,is_study_ind=0,Learners to Restricted (Over 18),60,102,87,5646,0.00877458,0.008712754
62,is_study_ind=0,Learners to Restricted (Over 18),61,81,90,5457,0.008932579,0.008869483
63,is_study_ind=0,Learners to Restricted (Over 18),62,69,60,5286,0.00906963,0.009005732
64,is_study_ind=0,Learners to Restricted (Over 18),63,63,114,5157,0.009198846,0.009134299
65,is_study_ind=0,Learners to Restricted (Over 18),64,69,114,4980,0.00935094,0.009285345
66,is_study_ind=0,Learners to Restricted (Over 18),65,60,84,4797,0.009488729,0.009422398
67,is_study_ind=0,Learners to Restricted (Over 18),66,48,96,4653,0.009606046,0.009539321
68,is_study_ind=0,Learners to Restricted (Over 18),67,51,93,4509,0.009734629,0.009667364
69,is_study_ind=0,Learners to Restricted (Over 18),68,48,90,4368,0.009861761,0.009794
70,is_study_ind=0,Learners to Restricted (Over 18),69,51,126,4230,0.010001312,0.009932888
71,is_study_ind=0,Learners to Restricted (Over 18),70,42,108,4053,0.010132719,0.010063793
72,is_study_ind=0,Learners to Restricted (Over 18),71,45,165,3903,0.010279054,0.010209429
73,is_study_ind=0,Learners to Restricted (Over 18),72,45,117,3693,0.010436754,0.010366312
74,is_study_ind=0,Learners to Restricted (Over 18),73,45,117,3534,0.010602604,0.010531254
75,is_study_ind=0,Learners to Restricted (Over 18),74,33,141,3372,0.010739852,0.010668077
76,is_study_ind=0,Learners to Restricted (Over 18),75,36,126,3198,0.01089955,0.010827088
77,is_study_ind=0,Learners to Restricted (Over 18),76,24,150,3039,0.011019054,0.010946437
78,is_study_ind=0,Learners to Restricted (Over 18),77,39,129,2865,0.01123565,0.011161503
79,is_study_ind=0,Learners to Restricted (Over 18),78,27,126,2697,0.011395135,0.011320495
80,is_study_ind=0,Learners to Restricted (Over 18),79,33,117,2544,0.011605951,0.011530114
81,is_study_ind=0,Learners to Restricted (Over 18),80,33,153,2397,0.011861737,0.011783933
82,is_study_ind=0,Learners to Restricted (Over 18),81,27,105,2208,0.012104237,0.012024939
83,is_study_ind=0,Learners to Restricted (Over 18),82,33,117,2076,0.01241184,0.012329807
84,is_study_ind=0,Learners to Restricted (Over 18),83,30,162,1929,0.01273748,0.012652526
85,is_study_ind=0,Learners to Restricted (Over 18),84,27,108,1737,0.013089845,0.01300175
86,is_study_ind=0,Learners to Restricted (Over 18),85,24,84,1602,0.013448042,0.013356975
87,is_study_ind=0,Learners to Restricted (Over 18),86,21,108,1491,0.013799678,0.013706026
88,is_study_ind=0,Learners to Restricted (Over 18),87,18,81,1362,0.014151479,0.014055548
89,is_study_ind=0,Learners to Restricted (Over 18),88,21,84,1263,0.014594655,0.014494698
90,is_study_ind=0,Learners to Restricted (Over 18),89,9,78,1155,0.014850565,0.014750135
91,is_study_ind=0,Learners to Restricted (Over 18),90,12,108,1071,0.01520327,0.01510125
92,is_study_ind=0,Learners to Restricted (Over 18),91,9,84,951,0.015601876,0.015497902
93,is_study_ind=0,Learners to Restricted (Over 18),92,18,99,855,0.016427867,0.016311183
94,is_study_ind=0,Learners to Restricted (Over 18),93,12,87,738,0.016984923,0.016864617
95,is_study_ind=0,Learners to Restricted (Over 18),94,9,90,639,0.017559284,0.017435818
96,is_study_ind=0,Learners to Restricted (Over 18),95,12,123,540,0.018623527,0.018485958
97,is_study_ind=0,Learners to Restricted (Over 18),96,S,69,405,0.019107089,0.018969482
98,is_study_ind=0,Learners to Restricted (Over 18),97,S,54,336,0.020028835,0.019886777
99,is_study_ind=0,Learners to Restricted (Over 18),98,S,45,276,0.020673886,0.020531675
100,is_study_ind=0,Learners to Restricted (Over 18),99,S,51,228,0.021592208,0.021448148
101,is_study_ind=0,Learners to Restricted (Over 18),100,S,30,177,0.023038915,0.022888025
102,is_study_ind=0,Learners to Restricted (Over 18),101,S,48,144,0.027003784,0.026772428
103,is_study_ind=0,Learners to Restricted (Over 18),102,S,33,93,0.031156865,0.030871634
104,is_study_ind=0,Learners to Restricted (Over 18),103,S,15,57,0.031156865,0.030871634
105,is_study_ind=0,Learners to Restricted (Over 18),104,S,18,45,0.038720685,0.038335189
106,is_study_ind=0,Learners to Restricted (Over 18),105,S,9,24,0.057540296,0.056618882
107,is_study_ind=0,Learners to Restricted (Over 18),106,S,9,15,0.057540296,0.056618882
108,is_study_ind=0,Learners to Restricted (Over 18),107,S,S,S,S,S
1,is_study_ind=1,Learners to Restricted (Over 18),0,S,12,9114,0,0
2,is_study_ind=1,Learners to Restricted (Over 18),1,S,15,9099,0,0
3,is_study_ind=1,Learners to Restricted (Over 18),2,S,12,9087,0,0
4,is_study_ind=1,Learners to Restricted (Over 18),3,S,15,9075,0,0
5,is_study_ind=1,Learners to Restricted (Over 18),4,S,9,9060,0,0
6,is_study_ind=1,Learners to Restricted (Over 18),5,S,12,9051,0,0
7,is_study_ind=1,Learners to Restricted (Over 18),6,72,18,9039,0.000955503,0.000951585
8,is_study_ind=1,Learners to Restricted (Over 18),7,135,9,8949,0.001615943,0.00160573
9,is_study_ind=1,Learners to Restricted (Over 18),8,129,12,8805,0.002070235,0.002056365
10,is_study_ind=1,Learners to Restricted (Over 18),9,123,12,8667,0.002441433,0.002424747
11,is_study_ind=1,Learners to Restricted (Over 18),10,150,9,8532,0.002843682,0.002822667
12,is_study_ind=1,Learners to Restricted (Over 18),11,156,18,8370,0.003220311,0.003195072
13,is_study_ind=1,Learners to Restricted (Over 18),12,186,12,8193,0.003631724,0.003600536
14,is_study_ind=1,Learners to Restricted (Over 18),13,168,24,7998,0.003981846,0.003946376
15,is_study_ind=1,Learners to Restricted (Over 18),14,162,15,7809,0.004309056,0.004269716
16,is_study_ind=1,Learners to Restricted (Over 18),15,174,12,7632,0.004652193,0.004608134
17,is_study_ind=1,Learners to Restricted (Over 18),16,159,15,7446,0.004957225,0.00490953
18,is_study_ind=1,Learners to Restricted (Over 18),17,147,27,7272,0.005237377,0.005186656
19,is_study_ind=1,Learners to Restricted (Over 18),18,201,15,7098,0.005611943,0.00555439
20,is_study_ind=1,Learners to Restricted (Over 18),19,189,12,6882,0.005968001,0.005904285
21,is_study_ind=1,Learners to Restricted (Over 18),20,180,18,6684,0.006305359,0.006236153
22,is_study_ind=1,Learners to Restricted (Over 18),21,183,12,6486,0.006652752,0.006577496
23,is_study_ind=1,Learners to Restricted (Over 18),22,195,12,6291,0.007024636,0.006942058
24,is_study_ind=1,Learners to Restricted (Over 18),23,213,30,6084,0.007437116,0.007344962
25,is_study_ind=1,Learners to Restricted (Over 18),24,213,S,5841,0.007858806,0.007756575
26,is_study_ind=1,Learners to Restricted (Over 18),25,219,9,5622,0.008306755,0.008192832
27,is_study_ind=1,Learners to Restricted (Over 18),26,210,6,5394,0.008749581,0.008624379
28,is_study_ind=1,Learners to Restricted (Over 18),27,201,9,5175,0.009182948,0.009047148
29,is_study_ind=1,Learners to Restricted (Over 18),28,186,9,4962,0.009598338,0.009453129
30,is_study_ind=1,Learners to Restricted (Over 18),29,198,15,4770,0.010065128,0.009907342
31,is_study_ind=1,Learners to Restricted (Over 18),30,204,21,4554,0.01056475,0.010392336
32,is_study_ind=1,Learners to Restricted (Over 18),31,165,12,4329,0.010984176,0.010802708
33,is_study_ind=1,Learners to Restricted (Over 18),32,147,12,4155,0.011378894,0.011189876
34,is_study_ind=1,Learners to Restricted (Over 18),33,174,12,3996,0.011866316,0.011664172
35,is_study_ind=1,Learners to Restricted (Over 18),34,138,9,3807,0.012269082,0.0120593
36,is_study_ind=1,Learners to Restricted (Over 18),35,120,18,3663,0.012643641,0.012427779
37,is_study_ind=1,Learners to Restricted (Over 18),36,162,18,3519,0.013170819,0.012939715
38,is_study_ind=1,Learners to Restricted (Over 18),37,144,9,3342,0.013665,0.013421432
39,is_study_ind=1,Learners to Restricted (Over 18),38,108,S,3192,0.01405298,0.013803327
40,is_study_ind=1,Learners to Restricted (Over 18),39,129,12,3081,0.014552817,0.014290793
41,is_study_ind=1,Learners to Restricted (Over 18),40,90,12,2940,0.014917292,0.014650566
42,is_study_ind=1,Learners to Restricted (Over 18),41,114,9,2838,0.015399603,0.015122131
43,is_study_ind=1,Learners to Restricted (Over 18),42,108,9,2712,0.015888024,0.015599745
44,is_study_ind=1,Learners to Restricted (Over 18),43,84,12,2598,0.016287735,0.015993661
45,is_study_ind=1,Learners to Restricted (Over 18),44,72,9,2502,0.016641933,0.016344112
46,is_study_ind=1,Learners to Restricted (Over 18),45,69,12,2421,0.016996495,0.016694971
47,is_study_ind=1,Learners to Restricted (Over 18),46,69,S,2346,0.017378534,0.017072271
48,is_study_ind=1,Learners to Restricted (Over 18),47,78,15,2268,0.017824627,0.017510747
49,is_study_ind=1,Learners to Restricted (Over 18),48,66,12,2172,0.01823687,0.017917231
50,is_study_ind=1,Learners to Restricted (Over 18),49,81,18,2094,0.018769997,0.018438387
51,is_study_ind=1,Learners to Restricted (Over 18),50,72,15,1992,0.019264944,0.018924032
52,is_study_ind=1,Learners to Restricted (Over 18),51,63,15,1905,0.019725898,0.019377752
53,is_study_ind=1,Learners to Restricted (Over 18),52,45,12,1827,0.020073189,0.019722542
54,is_study_ind=1,Learners to Restricted (Over 18),53,57,12,1770,0.020552185,0.020193806
55,is_study_ind=1,Learners to Restricted (Over 18),54,45,18,1698,0.020955135,0.020592542
56,is_study_ind=1,Learners to Restricted (Over 18),55,60,21,1632,0.021505249,0.021131791
57,is_study_ind=1,Learners to Restricted (Over 18),56,60,9,1554,0.022108086,0.02172124
58,is_study_ind=1,Learners to Restricted (Over 18),57,51,12,1485,0.022643977,0.022247929
59,is_study_ind=1,Learners to Restricted (Over 18),58,45,9,1422,0.023146579,0.022743262
60,is_study_ind=1,Learners to Restricted (Over 18),59,51,18,1368,0.023764148,0.023347884
61,is_study_ind=1,Learners to Restricted (Over 18),60,48,15,1296,0.024380563,0.02395207
62,is_study_ind=1,Learners to Restricted (Over 18),61,42,12,1233,0.024959271,0.024521077
63,is_study_ind=1,Learners to Restricted (Over 18),62,36,9,1179,0.02548881,0.025043597
64,is_study_ind=1,Learners to Restricted (Over 18),63,30,6,1134,0.025954621,0.025505111
65,is_study_ind=1,Learners to Restricted (Over 18),64,30,21,1095,0.026461306,0.026006112
66,is_study_ind=1,Learners to Restricted (Over 18),65,21,12,1044,0.026830981,0.026374647
67,is_study_ind=1,Learners to Restricted (Over 18),66,30,12,1011,0.02735201,0.026889967
68,is_study_ind=1,Learners to Restricted (Over 18),67,21,15,969,0.027726743,0.027263629
69,is_study_ind=1,Learners to Restricted (Over 18),68,18,9,936,0.028059807,0.027596527
70,is_study_ind=1,Learners to Restricted (Over 18),69,24,18,909,0.028586469,0.028117861
71,is_study_ind=1,Learners to Restricted (Over 18),70,12,21,870,0.028914922,0.028446369
72,is_study_ind=1,Learners to Restricted (Over 18),71,18,27,834,0.029368727,0.028897656
73,is_study_ind=1,Learners to Restricted (Over 18),72,21,18,789,0.029896426,0.029421005
74,is_study_ind=1,Learners to Restricted (Over 18),73,15,18,753,0.030345694,0.029868388
75,is_study_ind=1,Learners to Restricted (Over 18),74,15,24,723,0.030859979,0.030379256
76,is_study_ind=1,Learners to Restricted (Over 18),75,18,15,681,0.031497409,0.031009653
77,is_study_ind=1,Learners to Restricted (Over 18),76,18,27,651,0.032185458,0.031689148
78,is_study_ind=1,Learners to Restricted (Over 18),77,9,30,606,0.032657508,0.032159831
79,is_study_ind=1,Learners to Restricted (Over 18),78,15,33,564,0.033443496,0.032935283
80,is_study_ind=1,Learners to Restricted (Over 18),79,9,24,516,0.033953933,0.033444505
81,is_study_ind=1,Learners to Restricted (Over 18),80,12,24,483,0.034787005,0.034267474
82,is_study_ind=1,Learners to Restricted (Over 18),81,15,21,450,0.035806988,0.035270586
83,is_study_ind=1,Learners to Restricted (Over 18),82,9,21,414,0.036632348,0.036088207
84,is_study_ind=1,Learners to Restricted (Over 18),83,9,27,381,0.037575631,0.037020671
85,is_study_ind=1,Learners to Restricted (Over 18),84,15,18,345,0.039173018,0.038576579
86,is_study_ind=1,Learners to Restricted (Over 18),85,S,12,315,0.039829517,0.039232499
87,is_study_ind=1,Learners to Restricted (Over 18),86,9,24,297,0.040843845,0.040237831
88,is_study_ind=1,Learners to Restricted (Over 18),87,S,9,264,0.041365475,0.040761284
89,is_study_ind=1,Learners to Restricted (Over 18),88,S,S,252,0.042317743,0.041708468
90,is_study_ind=1,Learners to Restricted (Over 18),89,S,24,240,0.043335543,0.042719703
91,is_study_ind=1,Learners to Restricted (Over 18),90,S,15,213,0.044878185,0.044240501
92,is_study_ind=1,Learners to Restricted (Over 18),91,S,24,192,0.046096281,0.04545029
93,is_study_ind=1,Learners to Restricted (Over 18),92,S,21,165,0.046495398,0.045852588
94,is_study_ind=1,Learners to Restricted (Over 18),93,S,12,141,0.048079852,0.047425375
95,is_study_ind=1,Learners to Restricted (Over 18),94,S,12,129,0.049962407,0.049289389
96,is_study_ind=1,Learners to Restricted (Over 18),95,S,15,111,0.050761006,0.050091549
97,is_study_ind=1,Learners to Restricted (Over 18),96,S,12,96,0.051852307,0.051185609
98,is_study_ind=1,Learners to Restricted (Over 18),97,S,15,84,0.051852307,0.051185609
99,is_study_ind=1,Learners to Restricted (Over 18),98,S,6,66,0.051852307,0.051185609
100,is_study_ind=1,Learners to Restricted (Over 18),99,S,12,63,0.0619603,0.060786071
101,is_study_ind=1,Learners to Restricted (Over 18),100,S,9,48,0.065586687,0.064402173
102,is_study_ind=1,Learners to Restricted (Over 18),101,S,15,39,0.07080149,0.069571264
103,is_study_ind=1,Learners to Restricted (Over 18),102,S,9,21,0.07080149,0.069571264
104,is_study_ind=1,Learners to Restricted (Over 18),103,S,S,12,0.07080149,0.069571264
105,is_study_ind=1,Learners to Restricted (Over 18),104,S,S,9,0.151228284,0.143056495
106,is_study_ind=1,Learners to Restricted (Over 18),105,S,S,S,S,S
107,is_study_ind=1,Learners to Restricted (Over 18),106,S,S,S,S,S
1,eth_asian=FALSE,Learners to Restricted,0,S,81,47391,0,0
2,eth_asian=FALSE,Learners to Restricted,1,S,72,47310,0,0
3,eth_asian=FALSE,Learners to Restricted,2,S,75,47238,2.12E-05,2.12E-05
4,eth_asian=FALSE,Learners to Restricted,3,S,81,47166,3.00E-05,3.00E-05
5,eth_asian=FALSE,Learners to Restricted,4,S,66,47082,3.00E-05,3.00E-05
6,eth_asian=FALSE,Learners to Restricted,5,S,69,47013,4.75E-05,4.75E-05
7,eth_asian=FALSE,Learners to Restricted,6,1953,87,46941,0.000962843,0.00094265
8,eth_asian=FALSE,Learners to Restricted,7,4035,81,44898,0.001768466,0.001700338
9,eth_asian=FALSE,Learners to Restricted,8,3282,63,40782,0.002296259,0.002205422
10,eth_asian=FALSE,Learners to Restricted,9,2673,60,37440,0.002706737,0.002602092
11,eth_asian=FALSE,Learners to Restricted,10,2268,57,34707,0.003056441,0.002941859
12,eth_asian=FALSE,Learners to Restricted,11,2133,99,32382,0.003394189,0.003269502
13,eth_asian=FALSE,Learners to Restricted,12,1815,78,30150,0.003694279,0.00356211
14,eth_asian=FALSE,Learners to Restricted,13,1638,108,28254,0.003978311,0.003839463
15,eth_asian=FALSE,Learners to Restricted,14,1473,81,26508,0.004247751,0.004103036
16,eth_asian=FALSE,Learners to Restricted,15,1320,87,24957,0.004503028,0.004353253
17,eth_asian=FALSE,Learners to Restricted,16,1080,66,23556,0.004724348,0.004571574
18,eth_asian=FALSE,Learners to Restricted,17,966,84,22407,0.004932342,0.004777167
19,eth_asian=FALSE,Learners to Restricted,18,984,93,21357,0.005156715,0.004998063
20,eth_asian=FALSE,Learners to Restricted,19,786,93,20280,0.005346015,0.005185725
21,eth_asian=FALSE,Learners to Restricted,20,723,81,19398,0.005529751,0.005368001
22,eth_asian=FALSE,Learners to Restricted,21,651,81,18597,0.005703126,0.005540295
23,eth_asian=FALSE,Learners to Restricted,22,621,66,17865,0.005877179,0.005713178
24,eth_asian=FALSE,Learners to Restricted,23,561,99,17178,0.006042047,0.005877187
25,eth_asian=FALSE,Learners to Restricted,24,540,78,16521,0.006208995,0.006043158
26,eth_asian=FALSE,Learners to Restricted,25,444,42,15903,0.00635209,0.006186052
27,eth_asian=FALSE,Learners to Restricted,26,444,24,15420,0.006501669,0.006335182
28,eth_asian=FALSE,Learners to Restricted,27,402,57,14955,0.006642217,0.006475508
29,eth_asian=FALSE,Learners to Restricted,28,366,69,14496,0.006775741,0.006608969
30,eth_asian=FALSE,Learners to Restricted,29,327,60,14061,0.006899929,0.006733292
31,eth_asian=FALSE,Learners to Restricted,30,324,81,13674,0.007027368,0.006860761
32,eth_asian=FALSE,Learners to Restricted,31,294,75,13269,0.007147384,0.006980951
33,eth_asian=FALSE,Learners to Restricted,32,270,66,12906,0.007263162,0.007096967
34,eth_asian=FALSE,Learners to Restricted,33,279,66,12567,0.007385594,0.007219479
35,eth_asian=FALSE,Learners to Restricted,34,246,75,12225,0.007498938,0.007333067
36,eth_asian=FALSE,Learners to Restricted,35,234,84,11904,0.007610458,0.007444847
37,eth_asian=FALSE,Learners to Restricted,36,246,60,11580,0.00773157,0.007566023
38,eth_asian=FALSE,Learners to Restricted,37,219,63,11274,0.007844341,0.007679004
39,eth_asian=FALSE,Learners to Restricted,38,171,57,10992,0.007935432,0.007770594
40,eth_asian=FALSE,Learners to Restricted,39,219,66,10767,0.008054945,0.007890163
41,eth_asian=FALSE,Learners to Restricted,40,171,84,10485,0.008152527,0.007988143
42,eth_asian=FALSE,Learners to Restricted,41,213,63,10230,0.008279026,0.008114538
43,eth_asian=FALSE,Learners to Restricted,42,162,48,9954,0.008379445,0.0082153
44,eth_asian=FALSE,Learners to Restricted,43,165,81,9741,0.008484979,0.008321094
45,eth_asian=FALSE,Learners to Restricted,44,162,63,9495,0.008592698,0.008429033
46,eth_asian=FALSE,Learners to Restricted,45,129,66,9267,0.008680849,0.008517634
47,eth_asian=FALSE,Learners to Restricted,46,159,75,9072,0.008794096,0.008631001
48,eth_asian=FALSE,Learners to Restricted,47,159,78,8835,0.008910454,0.008747423
49,eth_asian=FALSE,Learners to Restricted,48,123,84,8601,0.009004609,0.00884195
50,eth_asian=FALSE,Learners to Restricted,49,165,96,8397,0.009136255,0.008973367
51,eth_asian=FALSE,Learners to Restricted,50,132,66,8133,0.009245704,0.009082996
52,eth_asian=FALSE,Learners to Restricted,51,138,78,7938,0.009366278,0.009203566
53,eth_asian=FALSE,Learners to Restricted,52,102,81,7722,0.009457476,0.009295153
54,eth_asian=FALSE,Learners to Restricted,53,111,63,7542,0.009561639,0.009399564
55,eth_asian=FALSE,Learners to Restricted,54,99,84,7368,0.009657816,0.009496075
56,eth_asian=FALSE,Learners to Restricted,55,108,108,7188,0.009769141,0.009607551
57,eth_asian=FALSE,Learners to Restricted,56,111,78,6966,0.009887329,0.0097258
58,eth_asian=FALSE,Learners to Restricted,57,111,90,6780,0.010010703,0.009849157
59,eth_asian=FALSE,Learners to Restricted,58,117,99,6579,0.010144828,0.009983086
60,eth_asian=FALSE,Learners to Restricted,59,147,117,6366,0.010326208,0.010163135
61,eth_asian=FALSE,Learners to Restricted,60,120,96,6102,0.0104869,0.010323126
62,eth_asian=FALSE,Learners to Restricted,61,96,96,5880,0.010621945,0.010458038
63,eth_asian=FALSE,Learners to Restricted,62,90,60,5691,0.010755609,0.010591613
64,eth_asian=FALSE,Learners to Restricted,63,72,111,5535,0.010865698,0.010701942
65,eth_asian=FALSE,Learners to Restricted,64,87,114,5352,0.011005217,0.010841308
66,eth_asian=FALSE,Learners to Restricted,65,60,84,5151,0.011106945,0.010943382
67,eth_asian=FALSE,Learners to Restricted,66,60,90,5010,0.011213554,0.011050301
68,eth_asian=FALSE,Learners to Restricted,67,54,99,4860,0.01131617,0.011153268
69,eth_asian=FALSE,Learners to Restricted,68,48,90,4710,0.011416424,0.011253897
70,eth_asian=FALSE,Learners to Restricted,69,66,132,4569,0.011551858,0.011389351
71,eth_asian=FALSE,Learners to Restricted,70,51,114,4371,0.011668228,0.011505994
72,eth_asian=FALSE,Learners to Restricted,71,51,171,4206,0.011795074,0.011633028
73,eth_asian=FALSE,Learners to Restricted,72,48,123,3984,0.011918715,0.011756933
74,eth_asian=FALSE,Learners to Restricted,73,48,126,3816,0.012063712,0.011901987
75,eth_asian=FALSE,Learners to Restricted,74,39,147,3642,0.012189502,0.012028076
76,eth_asian=FALSE,Learners to Restricted,75,42,135,3453,0.012338217,0.012176898
77,eth_asian=FALSE,Learners to Restricted,76,33,153,3276,0.012463457,0.012302508
78,eth_asian=FALSE,Learners to Restricted,77,42,132,3090,0.012649487,0.012488273
79,eth_asian=FALSE,Learners to Restricted,78,39,138,2913,0.01283689,0.012675473
80,eth_asian=FALSE,Learners to Restricted,79,30,126,2736,0.013004274,0.012842992
81,eth_asian=FALSE,Learners to Restricted,80,39,162,2577,0.013225347,0.013063524
82,eth_asian=FALSE,Learners to Restricted,81,36,117,2379,0.013460743,0.013298308
83,eth_asian=FALSE,Learners to Restricted,82,39,123,2229,0.013754833,0.013590756
84,eth_asian=FALSE,Learners to Restricted,83,36,171,2067,0.014055062,0.013889438
85,eth_asian=FALSE,Learners to Restricted,84,33,120,1857,0.014407163,0.014239199
86,eth_asian=FALSE,Learners to Restricted,85,24,90,1704,0.014706943,0.014538041
87,eth_asian=FALSE,Learners to Restricted,86,27,120,1590,0.015057766,0.014887112
88,eth_asian=FALSE,Learners to Restricted,87,18,84,1446,0.01531325,0.015142638
89,eth_asian=FALSE,Learners to Restricted,88,21,81,1341,0.015731172,0.015558001
90,eth_asian=FALSE,Learners to Restricted,89,12,81,1239,0.015980087,0.015807225
91,eth_asian=FALSE,Learners to Restricted,90,15,102,1146,0.016362773,0.016188655
92,eth_asian=FALSE,Learners to Restricted,91,15,96,1029,0.016768154,0.016592779
93,eth_asian=FALSE,Learners to Restricted,92,18,111,915,0.017407053,0.017225743
94,eth_asian=FALSE,Learners to Restricted,93,9,93,786,0.017870611,0.017688179
95,eth_asian=FALSE,Learners to Restricted,94,9,96,684,0.018469272,0.018284103
96,eth_asian=FALSE,Learners to Restricted,95,12,129,576,0.019446915,0.01925106
97,eth_asian=FALSE,Learners to Restricted,96,S,72,435,0.019851281,0.019656674
